#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.07  0.07  0.09962 -3.082 3.445  5.245  9.40  0.035 0.00 21.875 29.441 27.147 25.229 23.639 21.659 19.873 19.337 19.044  0.100 
 1   9.07  0.17  0.69432 -0.913 3.639  4.696  5.70  0.014 0.00 12.751 15.657 14.611 13.440 12.691 12.080 11.247 10.574 10.482  0.694 
 1   9.07  0.19  0.10292 -3.045 3.446  5.225  9.10  0.034 0.86 21.002 28.864 26.514 24.568 22.919 20.872 18.975 18.436 18.140  0.103 
 1   9.07  0.37  0.38493 -1.688 3.567  4.926 11.00  0.038 0.00 19.990 23.997 22.837 21.506 20.513 19.370 18.253 17.653 17.458  0.385 
 1   9.07  0.49  0.37067 -1.727 3.565  4.939  9.30  0.035 0.00 18.387 22.445 21.271 19.933 18.934 17.772 16.646 16.045 15.846  0.371 
 1   9.09 -0.23  0.21180 -2.153 3.556  5.086  9.90  0.036 0.00 20.052 24.363 22.991 21.491 20.485 19.424 18.343 17.765 17.537  0.212 
 1   9.09 -0.19  1.57814  0.990 3.872  4.080 10.00  0.037 0.00 12.295 12.580 12.575 12.300 12.130 11.978 11.805 11.684 11.670  1.578 
 1   9.09 -0.13  0.19095 -2.272 3.540  5.098 10.40  0.037 0.00 20.849 25.489 24.050 22.507 21.451 20.254 19.099 18.530 18.287  0.191 
 1   9.09 -0.05  0.17860 -2.371 3.525  5.108  9.70  0.036 0.00 20.398 25.305 23.838 22.271 21.163 19.836 18.602 18.048 17.797  0.179 
 1   9.09 -0.03  0.29255 -1.916 3.561  5.010  8.60  0.032 0.00 18.159 22.281 21.025 19.603 18.611 17.523 16.439 15.858 15.643  0.293 
 1   9.09  0.03  0.26072 -2.018 3.552  5.025  8.80  0.033 0.00 18.614 22.948 21.631 20.167 19.151 17.997 16.878 16.302 16.070  0.261 
 1   9.09  0.15  2.56654 -2.222 4.171  8.135  9.10  0.034 0.00 19.425 19.926 20.485 20.381 20.447 20.509 20.722 20.721 20.790  0.703 
