objName,raMean,decMean,rMeanApMag,rMeanPSFMag,qualityFlag
string,ra,dec,float,float,integer
PSO J054455.795+210415.176,05 44 55.794,+21 04 15.11,22.618,22.314,36
PSO J054456.251+205540.135,05 44 56.253,+20 55 40.07,17.708,17.709,60
PSO J054521.767+205521.525,05 45 21.754,+20 55 21.46,21.198,21.766,53
PSO J054514.031+210518.708,05 45 14.031,+21 05 18.71,20.155,20.416,33
PSO J054509.350+205436.456,05 45 09.350,+20 54 36.32,21.437,22.239,53
PSO J054520.315+210449.848,05 45 20.316,+21 04 49.81,21.302,21.238,52
PSO J054447.149+205909.243,05 44 47.151,+20 59 09.12,17.737,17.727,60
PSO J054522.095+210436.279,05 45 22.096,+21 04 36.25,21.353,21.382,52
PSO J054527.370+210334.141,05 45 27.370,+21 03 34.16,20.577,21.386,52
PSO J054527.371+210334.105,05 45 27.374,+21 03 34.10,20.609,21.522,36
PSO J054526.514+205613.073,05 45 26.516,+20 56 13.05,20.517,20.521,52
PSO J054522.318+205525.555,05 45 22.321,+20 55 25.55,21.177,21.180,52
PSO J054447.473+210115.196,05 44 47.475,+21 01 15.16,20.720,20.761,52
PSO J054530.847+205739.025,05 45 30.848,+20 57 38.99,13.774,13.794,60
PSO J054452.074+205634.796,05 44 52.076,+20 56 34.73,18.021,18.022,60
PSO J054447.514+205842.419,05 44 47.514,+20 58 42.42,20.908,21.200,32
PSO J054512.985+210521.735,05 45 12.987,+21 05 21.70,21.731,21.677,52
PSO J054531.263+205751.116,05 45 31.265,+20 57 51.06,20.182,20.116,52
PSO J054448.175+210149.594,05 44 48.176,+21 01 49.54,21.041,21.202,52
PSO J054458.214+205520.378,05 44 58.217,+20 55 20.29,21.531,21.532,52
PSO J054527.775+205631.485,05 45 27.776,+20 56 31.40,21.224,21.416,164
PSO J054518.980+205500.645,05 45 18.983,+20 55 00.53,19.200,19.203,52
PSO J054516.064+210513.688,05 45 16.063,+21 05 13.66,20.671,20.703,52
PSO J054446.948+210037.956,05 44 46.949,+21 00 37.88,23.532,21.837,52
PSO J054532.892+205906.502,05 45 32.894,+20 59 06.46,20.340,20.249,52
PSO J054532.943+210049.584,05 45 32.943,+21 00 49.55,15.313,15.318,60
PSO J054453.715+205608.330,05 44 53.716,+20 56 08.27,20.642,20.466,60
PSO J054446.872+210029.583,05 44 46.876,+21 00 29.54,21.478,21.297,52
PSO J054447.142+210057.487,05 44 47.143,+21 00 57.46,21.712,21.284,52
PSO J054501.672+205456.481,05 45 01.671,+20 54 56.37,21.615,21.524,52
PSO J054532.994+210046.576,05 45 32.994,+21 00 46.51,18.553,18.713,52
PSO J054448.037+205813.853,05 44 48.041,+20 58 13.76,20.902,20.969,52
PSO J054513.931+210520.688,05 45 13.933,+21 05 20.69,20.314,20.808,37
PSO J054449.793+210240.830,05 44 49.795,+21 02 40.79,17.148,17.142,60
PSO J054455.042+210409.261,05 44 55.044,+21 04 09.23,19.591,18.889,32
PSO J054508.539+210525.085,05 45 08.536,+21 05 24.99,17.830,18.049,52
PSO J054529.574+205704.338,05 45 29.576,+20 57 04.32,20.683,20.667,52
PSO J054455.428+205546.291,05 44 55.430,+20 55 46.19,21.103,21.331,52
PSO J054526.997+205617.616,05 45 27.000,+20 56 17.57,20.208,20.228,60
PSO J054454.053+205602.701,05 44 54.056,+20 56 02.63,21.254,21.238,52
PSO J054533.248+205943.032,05 45 33.249,+20 59 42.98,23.817,21.795,52
PSO J054447.246+210109.482,05 44 47.248,+21 01 09.42,18.896,18.921,60
PSO J054529.525+210257.972,05 45 29.528,+21 02 57.93,21.647,21.413,52
PSO J054530.508+205725.401,05 45 30.509,+20 57 25.37,19.169,19.233,52
PSO J054449.039+205737.634,05 44 49.048,+20 57 37.50,20.392,20.569,61
PSO J054528.812+210312.535,05 45 28.813,+21 03 12.48,18.353,18.367,60
PSO J054522.101+205521.227,05 45 22.102,+20 55 21.24,20.762,20.845,52
PSO J054511.453+210525.872,05 45 11.454,+21 05 25.81,21.330,21.577,52
PSO J054531.823+205805.091,05 45 31.823,+20 58 05.06,21.834,21.673,52
PSO J054457.461+210435.487,05 44 57.463,+21 04 35.46,18.474,18.463,60
PSO J054454.073+210358.821,05 44 54.077,+21 03 58.81,23.609,22.170,52
PSO J054515.094+205441.208,05 45 15.096,+20 54 41.19,20.307,20.285,52
PSO J054459.325+210450.888,05 44 59.327,+21 04 50.86,23.355,22.413,36
PSO J054448.470+210206.812,05 44 48.472,+21 02 06.77,17.921,17.921,60
PSO J054459.689+210453.469,05 44 59.691,+21 04 53.45,21.574,22.147,36
PSO J054519.291+210500.084,05 45 19.293,+21 05 00.05,20.230,20.173,52
PSO J054526.694+210348.854,05 45 26.694,+21 03 48.85,20.930,21.630,37
PSO J054459.763+210454.104,05 44 59.765,+21 04 54.10,21.899,22.205,36
PSO J054524.694+210414.671,05 45 24.694,+21 04 14.67,22.943,22.540,32
PSO J054448.935+205737.413,05 44 48.935,+20 57 37.33,22.147,21.292,36
PSO J054450.866+205651.400,05 44 50.866,+20 56 51.32,19.385,19.378,36
PSO J054453.496+205607.477,05 44 53.498,+20 56 07.43,20.030,19.925,52
PSO J054448.441+210208.143,05 44 48.442,+21 02 08.14,21.005,20.415,32
PSO J054533.442+205956.960,05 45 33.441,+20 59 57.00,19.882,19.898,52
PSO J054451.574+205637.146,05 44 51.578,+20 56 37.05,21.412,21.773,52
PSO J054506.219+205436.059,05 45 06.222,+20 54 36.01,19.302,19.322,52
PSO J054500.324+205500.945,05 45 00.327,+20 55 00.89,20.255,20.288,52
PSO J054510.710+205431.868,05 45 10.710,+20 54 31.74,20.996,21.772,37
PSO J054447.464+205829.057,05 44 47.463,+20 58 28.98,21.923,22.077,36
PSO J054450.780+205651.686,05 44 50.787,+20 56 51.60,18.442,18.830,61
PSO J054506.057+210523.932,05 45 06.058,+21 05 23.89,18.234,18.258,60
PSO J054447.182+205843.229,05 44 47.182,+20 58 43.15,23.022,22.364,36
PSO J054518.797+210504.717,05 45 18.799,+21 05 04.72,21.622,21.830,36
PSO J054531.454+205746.668,05 45 31.454,+20 57 46.61,21.365,21.610,52
PSO J054525.902+210401.891,05 45 25.903,+21 04 01.89,21.619,21.723,32
PSO J054533.032+205856.004,05 45 33.033,+20 58 55.96,18.278,18.275,60
PSO J054507.417+205433.247,05 45 07.417,+20 54 33.12,20.860,20.829,52
PSO J054510.659+205431.382,05 45 10.659,+20 54 31.25,21.099,21.885,37
PSO J054506.042+205435.747,05 45 06.044,+20 54 35.70,17.805,17.852,60
PSO J054527.249+205616.700,05 45 27.253,+20 56 16.65,20.482,20.566,52
PSO J054508.289+205431.969,05 45 08.284,+20 54 31.80,21.332,22.340,53
PSO J054453.079+205611.661,05 44 53.078,+20 56 11.57,20.429,21.328,36
PSO J054454.401+205553.707,05 44 54.404,+20 55 53.65,19.093,19.033,52
