Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.25 -0.21  0.17209 -2.398 3.527  5.126 10.00  0.038 0.00 20.766 25.731 24.181 22.568 21.467 20.196 18.990 18.424 18.173  0.172
 1   9.25 -0.07  1.79370 -0.827 4.489  7.995  8.60  0.038 0.00 15.436 17.120 18.069 18.261 18.391 18.557 18.932 19.030 19.136  0.677
 1   9.25  0.21  0.27041 -2.010 3.545  5.006  9.50  0.038 0.00 19.294 23.763 22.419 20.934 19.896 18.695 17.545 16.973 16.734  0.270
 1   9.25  0.21  0.43810 -1.548 3.577  4.882 12.30  0.038 0.00 20.941 24.749 23.650 22.362 21.391 20.305 19.217 18.612 18.435  0.438
 1   9.25  0.33  0.23941 -2.111 3.539  5.029 12.30  0.038 0.00 22.347 26.941 25.572 24.067 23.007 21.761 20.581 20.016 19.774  0.239
 1   9.27 -0.27  0.68436 -0.820 3.664  4.693  8.90  0.038 0.95 15.083 17.519 16.693 15.623 14.955 14.421 13.656 13.025 12.940  0.684
 1   9.27  0.05  0.23495 -2.107 3.545  5.044  8.00  0.037 0.91 17.380 21.895 20.535 19.040 17.995 16.783 15.626 15.058 14.818  0.235
 1   9.27  0.05  0.45940 -1.487 3.586  4.878  8.50  0.037 0.00 16.987 20.615 19.512 18.212 17.284 16.333 15.314 14.690 14.528  0.459
 1   9.27  0.07  0.63919 -1.034 3.628  4.738 11.90  0.038 0.00 19.256 22.326 21.259 20.049 19.261 18.607 17.733 17.039 16.935  0.639
 1   9.27  0.33  0.14379 -2.658 3.484  5.138  6.00  0.029 0.00 17.416 23.380 21.650 19.940 18.634 16.993 15.517 14.982 14.703  0.144
 1   9.29 -0.31  0.41455 -1.536 3.596  4.923  6.50  0.032 0.90 14.496 17.899 16.831 15.515 14.621 13.821 12.877 12.262 12.099  0.415
 1   9.29 -0.25  0.40411 -1.572 3.591  4.928  8.50  0.037 0.00 17.200 20.677 19.590 18.267 17.364 16.532 15.571 14.955 14.791  0.404
 1   9.29 -0.13  0.35024 -1.746 3.577  4.980  9.90  0.038 0.00 19.035 22.810 21.654 20.291 19.339 18.373 17.349 16.760 16.572  0.350
 1   9.29 -0.05  1.65906  1.831 3.660  2.412  6.90  0.034 0.84  7.012  9.212  8.510  7.451  6.862  6.362  5.613  5.008  4.928  1.659
 1   9.29 -0.01  0.15843 -2.521 3.506  5.128  7.10  0.035 0.00 18.172 23.539 21.973 20.343 19.148 17.672 16.328 15.786 15.521  0.158
 1   9.29  0.07  0.24343 -2.078 3.546  5.033  7.90  0.037 0.00 17.865 22.319 20.973 19.488 18.453 17.262 16.118 15.546 15.308  0.243
 1   9.29  0.09  0.08933 -3.279 3.417  5.282  8.70  0.038 0.00 21.668 30.671 27.809 25.724 23.884 21.675 19.606 19.062 18.763  0.089
 1   9.29  0.25  0.17927 -2.400 3.514  5.091 12.30  0.038 0.00 23.069 28.219 26.719 25.128 23.969 22.547 21.242 20.697 20.438  0.179
 1   9.29  0.27  0.14728 -2.628 3.487  5.130  8.70  0.038 0.80 19.557 25.678 23.912 22.183 20.848 19.165 17.645 17.109 16.827  0.147
 1   9.29  0.27  0.09266 -3.214 3.424  5.259  9.00  0.038 0.00 21.805 30.410 27.725 25.687 23.913 21.753 19.755 19.216 18.917  0.093
 1   9.31 -0.39  0.08537 -3.424 3.403  5.351  9.50  0.038 0.00 22.829 32.745 29.461 27.268 25.280 22.963 20.743 20.187 19.890  0.085
 1   9.31 -0.29  0.15191 -2.532 3.513  5.148  5.00  0.023 0.00 16.100 21.500 19.782 18.086 16.923 15.557 14.292 13.725 13.469  0.152
 1   9.31 -0.29  0.32885 -1.773 3.582  5.003 12.30  0.038 0.00 21.503 25.154 24.013 22.646 21.713 20.835 19.850 19.258 19.074  0.329
 1   9.31 -0.13  0.22153 -2.131 3.552  5.070  8.40  0.037 0.89 17.870 22.319 20.930 19.420 18.394 17.258 16.140 15.565 15.329  0.222
 1   9.31 -0.13  0.57979 -1.146 3.623  4.785 12.20  0.038 0.82 19.364 22.527 21.483 20.242 19.416 18.709 17.806 17.133 17.008  0.580
 1   9.31 -0.09  0.16069 -2.495 3.511  5.130  8.90  0.038 0.00 19.907 25.202 23.614 21.977 20.806 19.386 18.083 17.531 17.271  0.161
 1   9.31  0.05  2.39569 -2.395 4.122  8.115  6.60  0.033 0.00 17.358 17.673 18.180 18.028 18.073 18.110 18.293 18.276 18.340  0.701
